f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,class
52,318,1432,464,52,652,1432,637,5,646107,45030692,4716014,7,721498,45089469,4981538,129891928,6,202,64242,181,118187,53738,108775,222,35,77,146,label-1
59,132,600,51,67,100,679,49,23,60115,221910,23785,32,47365,712281,36078,294444789,17,4899,647134,6216,622401,509962,448353,108,64,4899,6216,label-1
52,491,1432,578,52,369,1432,492,20,928711,45054367,5634593,5,768610,45006990,5136101,130019656,6,141,69242,170,62734,61910,53894,35,192,110,78,label-1
59,122,600,53,67,98,678,48,25,63748,203069,26341,31,47580,1049168,37985,294522189,17,4620,567397,6191,611229,438037,437881,108,64,4620,6191,label-1
52,387,1432,498,52,491,1432,580,6,811589,45063641,5270858,14,934343,45085316,5649466,129895798,6,161,62319,140,68841,53947,61561,192,35,79,104,label-1
59,139,599,48,67,99,678,49,26,58049,239470,22435,31,47441,577979,35362,294091070,17,5067,706802,6200,618359,564926,444759,108,64,5067,6200,label-1
52,361,1432,487,52,478,1432,574,5,746244,45021440,5043736,23,901709,45043099,5534107,129868558,6,175,63291,145,69357,54191,61817,109,35,79,109,label-1
59,146,599,44,67,99,678,49,20,57661,198030,20648,32,47409,921867,37160,292755457,17,5078,742909,6176,615851,600725,442923,108,64,5078,6176,label-1
52,391,1432,505,52,493,1432,578,5,768120,45089617,5116784,19,933904,45111257,5630809,129834654,6,170,66512,140,69139,57672,61859,193,35,83,109,label-1
59,143,600,48,67,100,679,49,10,58299,200635,22825,31,47334,998030,37125,294848033,17,5058,723822,6230,623943,582198,449503,108,64,5058,6230,label-1
52,389,1432,513,52,640,1432,632,5,649423,45024276,4705698,11,702000,45045892,4890996,129920802,6,201,78248,186,119117,67796,109445,222,35,94,147,label-1
59,139,600,48,67,98,680,49,9,59830,347860,25667,31,47734,1054065,39438,293951357,17,4914,684836,6159,608244,547244,435792,108,64,4914,6159,label-1
52,370,1432,495,52,487,1432,578,5,750597,45020713,5054737,19,927519,45060252,5609384,129874947,6,174,64404,141,68773,55356,61441,222,35,78,107,label-1
59,146,600,46,67,98,679,49,22,58761,390772,23347,31,47555,874138,37326,293044758,17,4988,732858,6162,609426,593194,436890,108,64,4988,6162,label-1
52,340,1432,476,52,683,1432,639,5,705737,45014831,4921263,33,759386,45036831,5102932,129877173,6,185,63064,172,117594,53444,108650,222,35,78,140,label-1
59,151,598,43,67,98,677,49,23,55943,246881,21369,32,47416,1018228,38321,293141427,17,5241,793203,6182,611185,646455,438089,108,64,5241,6182,label-1
